Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2023-01-29 08:41:10.769688874 +0000 UTC m=+1.845850734,1674981670,ts-user-service-687d654649-lrcwv,1.5799519666667077,0.3159903933333415,415.53515625,20.776757812499998,0,0,836.169621960411,18968.344638819468,0.03750000000000001,0.0235,0.043750000000000004,0.02425,0.048749999999999995,0.02485,0.2,0,12.677050882445007,34.13775817002233,29656.033333333333
2023-01-29 08:42:10.768752284 +0000 UTC m=+61.844914145,1674981730,ts-user-service-687d654649-lrcwv,0,0,415.921875,20.79609375,0,0,1238.9267174543247,34106.182161396886,0.019,NaN,0.021999999999999992,NaN,0.0244,NaN,0,0,12.721684595220895,34.1151200758181,21352.233333333334
2023-01-29 08:43:11.193520553 +0000 UTC m=+122.269682413,1674981791,ts-user-service-687d654649-lrcwv,2.2225554849201026,0.44450184202411086,415.90234375,20.7951171875,0,0,862.9542165003428,1215.3576597851754,0.0046,0.022,0.0048,0.00975,0.00496,0.009949999999999999,0.06666666666666667,0,12.90884941067575,34.08228508142274,57344.566666666666
2023-01-29 08:44:10.593612089 +0000 UTC m=+181.669773949,1674981850,ts-user-service-687d654649-lrcwv,3.406921593610399,0.6813492518537394,416.0234375,20.801171874999998,0,0,1563.1548465224032,26242.931606381302,0.0046,0.0095,0.0048000000000000004,0.00975,0.00496,0.009949999999999999,0.26666666666666666,0,19.78462309043255,41.06103869333311,5059691.3
2023-01-29 08:45:10.805539083 +0000 UTC m=+241.881700943,1674981910,ts-user-service-687d654649-lrcwv,5.904447014746679,1.180862979817354,416.4375,20.821875000000002,0,0,1659.9724724724724,30905.155155155157,0.035,0.0095,0.0425,0.00975,0.0485,0.009949999999999999,0.1332800213248034,0,13.05864761576192,41.15693346522625,53869
2023-01-29 08:46:10.602783222 +0000 UTC m=+301.678945092,1674981970,ts-user-service-687d654649-lrcwv,7.244596543224153,1.4489193086448309,416.6640625,20.833203125,0,0,1662.5225225225226,32049.12912912913,0.0046,0.0095,0.0048,0.00975,0.00496,0.009949999999999999,0.13333333333333333,0,30.885447353093575,41.17408279736588,12620825.9
2023-01-29 08:47:10.729378206 +0000 UTC m=+361.805540075,1674982030,ts-user-service-687d654649-lrcwv,1.7594700243751837,0.35188578962661105,416.51171875,20.825585937499998,0,0,1104.6524985640438,27517.34635267088,0.0046,0.0235,0.004799999999999999,0.02425,0.004960000000000001,0.02485,0.06666666666666667,0,12.639667705273894,41.291883828521314,27675.533333333333
2023-01-29 08:48:10.879179389 +0000 UTC m=+421.955341248,1674982090,ts-user-service-687d654649-lrcwv,6.214268641811132,1.2428537283622265,416.78515625,20.8392578125,0,0,1915.2834525025537,65440.24514811032,0.007999999999999998,NaN,0.008999999999999996,NaN,0.009800000000000001,NaN,0,0,19.130579752185938,41.26446441269636,4120208.7666666666
2023-01-29 08:49:10.728424387 +0000 UTC m=+481.804586247,1674982150,ts-user-service-687d654649-lrcwv,4.632817655841825,0.926541843723957,418.41796875,20.9208984375,0,0,1843.660237997538,39754.8625359048,0.0044666666666666665,NaN,0.0047333333333333324,NaN,0.004946666666666667,NaN,0,0,12.982863781447628,41.299055810952396,37142.5
2023-01-29 08:50:11.048559347 +0000 UTC m=+542.124721213,1674982211,ts-user-service-687d654649-lrcwv,3.0462367224379623,0.6092343956912036,418.89453125,20.944726562499998,0,0,1235.64725365719,32897.80568589566,0.0046,NaN,0.004799999999999999,NaN,0.004960000000000001,NaN,0,0,13.038242743955141,41.33132973189227,55401.1
2023-01-29 08:51:10.702197934 +0000 UTC m=+601.778359794,1674982270,ts-user-service-687d654649-lrcwv,3.5116428638689396,0.7022766580328504,409.2421875,20.462109375,0,0,1632.3890425905,41139.812180960915,0.03500000000000001,0.0095,0.04249999999999999,0.00975,0.0485,0.009949999999999999,0.2,0,22.38568920862155,41.29310355342456,6099915.466666667
2023-01-29 08:52:10.868577346 +0000 UTC m=+661.944739205,1674982330,ts-user-service-687d654649-lrcwv,9.953266890098242,1.9906533780196485,409.19921875,20.4599609375,0,0,1778.5569034429564,34049.014795596384,0.0375,0.0095,0.04374999999999998,0.00975,0.04874999999999999,0.009949999999999999,0.2664890073284477,0,12.97380329632073,41.26844071588094,48609.3
2023-01-29 08:53:10.62534097 +0000 UTC m=+721.701502857,1674982390,ts-user-service-687d654649-lrcwv,3.640500050000029,0.7281000100000058,409.6484375,20.482421875,0,0,1111.0238188765488,21405.670820983465,0.0046,NaN,0.004799999999999999,NaN,0.004960000000000001,NaN,0,0,27.38898905636494,41.18793887226675,10779161.466666667
2023-01-29 08:54:10.819030927 +0000 UTC m=+781.895192787,1674982450,ts-user-service-687d654649-lrcwv,6.187543088560573,1.2374805056139395,410.1953125,20.509765625,0,0,1710.256918301301,32148.80126808005,0.0046,NaN,0.004799999999999999,NaN,0.004960000000000001,NaN,0,0,13.07634792722424,40.96197263669152,41705.933333333334
2023-01-29 08:55:11.035241596 +0000 UTC m=+842.111403471,1674982511,ts-user-service-687d654649-lrcwv,4.824081174376524,0.9647747039101234,410.26171875,20.5130859375,0,0,1224.6977416166071,36013.91529161281,18.000000000000004,NaN,23.999999999999993,NaN,28.8,NaN,0,0,18.868789596506797,41.14280905084667,3563507.9
2023-01-29 08:56:10.962793779 +0000 UTC m=+902.038955639,1674982570,ts-user-service-687d654649-lrcwv,2.3372524099303034,0.4674402638749833,410.3515625,20.517578125,0,0,1427.3324572930355,46421.46298729742,0.04,NaN,0.044999999999999984,NaN,0.049,NaN,0,0,12.651228537091319,40.942286276753144,45064.03333333333
2023-01-29 08:57:11.030458881 +0000 UTC m=+962.106620741,1674982631,ts-user-service-687d654649-lrcwv,4.796411957158163,0.9592823914316326,410.26953125,20.5134765625,0,0,1504.595744680851,45036.85106382979,0.03750000000000001,0.0235,0.043750000000000004,0.02425,0.048749999999999995,0.02485,0.06666666666666667,0,12.963577532739345,40.86881004858164,62609
2023-01-29 08:58:10.716726506 +0000 UTC m=+1021.792888368,1674982690,ts-user-service-687d654649-lrcwv,3.2308988749999656,0.6461797749999931,410.19921875,20.5099609375,0,0,1371.4124248173414,42842.00540911476,0.04,NaN,0.044999999999999984,NaN,0.049,NaN,0,0,19.386268060153167,41.3192788498482,4988362.5
