Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2023-01-30 11:39:53.970434667 +0000 UTC m=+1.147264954,1675078793,ts-inside-payment-service-6f94c49ccd-t4k6c,6.901587698212684,1.3802862852828857,510.46875,25.5234375,122,128,6964.285714285714,44059.001670843776,0.01750000000000001,0.0235,0.021250000000000005,0.02425,0.024249999999999997,0.02485,0.06666666666666667,0,9.29199796969784,58.42399345251672,100006.96666666666
2023-01-30 11:40:53.736255237 +0000 UTC m=+60.913085548,1675078853,ts-inside-payment-service-6f94c49ccd-t4k6c,9.443126697684283,1.8886253395368566,510.2265625,25.511328125,112,108,1878.5270997103846,65791.3942904427,0.03250000000000001,0.22,0.04124999999999999,0.23499999999999996,0.04825,0.247,0.13333333333333333,0,8.349258928854109,58.7050424647225,74890.2
2023-01-30 11:41:53.749216123 +0000 UTC m=+120.926046429,1675078913,ts-inside-payment-service-6f94c49ccd-t4k6c,10.520374236157751,2.1039873592571956,510.22265625,25.511132812499998,122,126,5891.275323619899,48328.55401404772,0.025,0.09,0.0375,0.095,0.04749999999999999,0.099,0.06666666666666667,0,8.936387200846651,57.30355415639556,65938.76666666666
2023-01-30 11:42:54.124728577 +0000 UTC m=+181.301558880,1675078974,ts-inside-payment-service-6f94c49ccd-t4k6c,9.34131663164878,1.8683647383708109,510.33203125,25.516601562500004,268,408,4993.747257569109,45423.92496709083,0.05,0.235,20,0.24249999999999997,27.999999999999986,0.24850000000000003,0.13333333333333333,0,11.05392990821108,61.95485310243127,963716.4666666667
2023-01-30 11:43:53.860576928 +0000 UTC m=+241.037407235,1675079033,ts-inside-payment-service-6f94c49ccd-t4k6c,4.8989678999996995,0.9797935799999399,510.31640625,25.515820312499997,394,610,5063.930747034306,52997.30682911189,0.0449999999999999,0.22,18.999999999999957,0.23499999999999996,27.800000000000004,0.247,0.13333333333333333,0,7.8812735192057115,61.97546645329612,65584.13333333333
2023-01-30 11:44:54.045113313 +0000 UTC m=+301.221943613,1675079094,ts-inside-payment-service-6f94c49ccd-t4k6c,14.495470769308195,2.899094153861639,510.26171875,25.5130859375,364.00000000000006,543.9999999999999,3692.2699787546985,66919.43127962085,0.009749999999999995,0.04,18.999999999999957,0.044999999999999984,27.800000000000004,0.049,0.3333333333333333,0,12.868104076323883,61.7956546080597,2702338.2333333334
2023-01-30 11:45:53.721098302 +0000 UTC m=+360.897928606,1675079153,ts-inside-payment-service-6f94c49ccd-t4k6c,18.512537437868314,3.7023469443734256,510.73046875,25.5365234375,384,566,5451.144010767161,55588.76177658143,10.999999999999991,0.0235,20.49999999999998,0.02425,28.100000000000012,0.02485,0.06666666666666667,0,9.959211420769499,60.3385224496467,71010.5
2023-01-30 11:46:53.710583047 +0000 UTC m=+420.887413342,1675079213,ts-inside-payment-service-6f94c49ccd-t4k6c,15.756895695651504,3.151311891776039,511.33984375,25.5669921875,362,544,10444.306212158912,70717.6743800282,0.0899999999999998,0.19,18.999999999999957,0.21999999999999995,27.800000000000004,0.24400000000000002,0.13333333333333333,0,12.890222984724431,59.68257879117944,1964404.1
2023-01-30 11:47:54.059422436 +0000 UTC m=+481.236252783,1675079274,ts-inside-payment-service-6f94c49ccd-t4k6c,18.124850500495125,3.6248006614666948,511.58203125,25.5791015625,394,592,2996.096021264225,69347.8694243708,0.05,0.09,20,0.095,27.999999999999986,0.099,0.13333333333333333,0,9.33344662061768,58.857434894133974,72646.1
2023-01-30 11:48:54.379538851 +0000 UTC m=+541.556369186,1675079334,ts-inside-payment-service-6f94c49ccd-t4k6c,7.7235345948785765,1.5446705878904214,512.14453125,25.607226562500003,388,580,2487.7825290164933,49510.62919975565,13.000000000000004,NaN,21.5,NaN,28.29999999999999,NaN,0,0,9.459516654820288,58.55799243038725,128347.56666666667
