Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2023-01-30 11:39:54.272787678 +0000 UTC m=+1.449617982,1675078794,ts-route-plan-service-7cf64f4bd6-g5f82,2.2584548000001092,0.45169096000002185,419.65625,20.9828125,0,0,1869.7843176778877,36830.47772626487,7.5,NaN,14.999999999999984,NaN,26.999999999999996,NaN,0,0,3.0109871676529454,39.7639344422259,31247.866666666665
2023-01-30 11:40:54.337623079 +0000 UTC m=+61.514453382,1675078854,ts-route-plan-service-7cf64f4bd6-g5f82,5.128498194945772,1.0256996389891544,419.6484375,20.982421875,0,0,1487.2156685669133,30563.24434159282,0.0046,NaN,0.0048,NaN,0.00496,NaN,0,0,2.706218007886574,39.719292510767126,26689.666666666668
2023-01-30 11:41:54.302291695 +0000 UTC m=+121.479122005,1675078914,ts-route-plan-service-7cf64f4bd6-g5f82,3.2834930371678492,0.6566986074335699,419.6484375,20.982421875,0,0,2088.9623955431757,38000.55710306407,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.8432237201289623,39.73673457688353,56208.066666666666
2023-01-30 11:42:54.504581997 +0000 UTC m=+181.681412306,1675078974,ts-route-plan-service-7cf64f4bd6-g5f82,4.548542975448591,0.9097085950897181,419.90625,20.9953125,0,0,33891.73927676601,44261.545940690325,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,3.043277504930908,39.73949115516486,32367.2
2023-01-30 11:43:54.318397782 +0000 UTC m=+241.495228085,1675079034,ts-route-plan-service-7cf64f4bd6-g5f82,3.376453369073,0.6752906738146,420.53125,21.0265625,0,0,1791.573550677008,35688.11620875509,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.646725202710387,39.78915835322501,29042.2
2023-01-30 11:44:54.349069482 +0000 UTC m=+301.525899794,1675079094,ts-route-plan-service-7cf64f4bd6-g5f82,2.776310992249897,0.5552621984499794,419.79296875,20.9896484375,0,0,1234.5757769069533,1186.4576688234756,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.6357760429778776,39.76017768952391,29364.333333333332
2023-01-30 11:45:54.486040503 +0000 UTC m=+361.662870810,1675079154,ts-route-plan-service-7cf64f4bd6-g5f82,3.7770478917794277,0.7553889184286794,420.4375,21.021875,0,0,1844.349815685776,34548.55726452269,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.941917072353306,39.781888792801674,31476.666666666668
2023-01-30 11:46:54.224357062 +0000 UTC m=+421.401187361,1675079214,ts-route-plan-service-7cf64f4bd6-g5f82,3.691063859735827,0.7382127719471655,420.13671875,21.0068359375,0,0,2325.027029810019,55727.2820882459,12.000000000000012,NaN,20.99999999999999,NaN,28.2,NaN,0,0,2.880382373901058,39.80291685013362,28534.766666666666
2023-01-30 11:47:54.538293334 +0000 UTC m=+481.715123642,1675079274,ts-route-plan-service-7cf64f4bd6-g5f82,6.015127811915395,1.203025562383079,420.13671875,21.0068359375,0,0,1999.9015425008206,35895.01148670824,12.000000000000012,NaN,20.99999999999999,NaN,28.2,NaN,0,0,2.786403692820083,39.793695729865085,32463.266666666666
2023-01-30 11:48:54.757888935 +0000 UTC m=+541.934719246,1675079334,ts-route-plan-service-7cf64f4bd6-g5f82,1.902168319534188,0.3804336639068376,420.13671875,21.0068359375,0,0,1915.1851247757297,58166.748219431305,84.00000000000016,NaN,191.9999999999999,NaN,278.4,NaN,0,0,2.690225374571431,39.75734792774838,31593.3
2023-01-30 11:49:54.574406736 +0000 UTC m=+601.751237069,1675079394,ts-route-plan-service-7cf64f4bd6-g5f82,2.477046877266176,0.49533160432538426,420.09375,21.0046875,0,0,2307.0109310214852,50936.29852996607,0.00045,NaN,0.00047499999999999994,NaN,0.000495,NaN,0,0,2.8112281290718966,39.821603035651336,33109.46666666667
2023-01-30 11:50:54.28878566 +0000 UTC m=+661.465615962,1675079454,ts-route-plan-service-7cf64f4bd6-g5f82,2.328279845500025,0.4656354448844033,421.125,21.056250000000002,0,0,1688.8042097622936,48440.30121575032,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.650339679605962,39.78396232513719,33132.36666666667
2023-01-30 11:51:54.393151026 +0000 UTC m=+721.569981337,1675079514,ts-route-plan-service-7cf64f4bd6-g5f82,3.3939209770482432,0.6786700096818665,421.51171875,21.075585937499998,0,0,2013.1606580329017,38101.22506125306,22,NaN,25.99999999999999,NaN,29.200000000000003,NaN,0,0,2.636993491499684,39.777278232667406,31810.733333333334
2023-01-30 11:52:54.306203102 +0000 UTC m=+781.483033402,1675079574,ts-route-plan-service-7cf64f4bd6-g5f82,2.625274419653735,0.5250334844541059,421.296875,21.06484375,0,0,2393.1502685175806,54668.710102340665,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.7813957396784494,39.73417315458671,31991.433333333334
2023-01-30 11:53:54.265967814 +0000 UTC m=+841.442798116,1675079634,ts-route-plan-service-7cf64f4bd6-g5f82,2.6883209284978427,0.5376641856995685,420.20703125,21.0103515625,0,0,1958.3033788641264,38888.856937455064,0.0046,NaN,0.004799999999999999,NaN,0.004960000000000001,NaN,0,0,2.71903323261361,39.733856026111866,30215.4
2023-01-30 11:54:54.387301315 +0000 UTC m=+901.564131622,1675079694,ts-route-plan-service-7cf64f4bd6-g5f82,5.1996459664673065,1.0398802637958675,420.46484375,21.0232421875,0,0,2268.9862327909887,53923.95494367959,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,3.143624611771123,39.763470946762666,32398.81349153446
2023-01-30 11:55:54.471737661 +0000 UTC m=+961.648567966,1675079754,ts-route-plan-service-7cf64f4bd6-g5f82,2.0285423897318178,0.4056814189889523,420.3359375,21.016796874999997,0,0,1368.5731170792567,35408.037297261806,12.000000000000012,NaN,20.99999999999999,NaN,28.2,NaN,0,0,2.569269521404993,39.78184000380554,27743.4
2023-01-30 11:56:54.36412902 +0000 UTC m=+1021.540959316,1675079814,ts-route-plan-service-7cf64f4bd6-g5f82,1.4786302750000146,0.29572605500000293,421.23828125,21.0619140625,0,0,1523.4601502869652,32519.200047334478,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.915390746254487,39.776570792223524,33546.333333333336
2023-01-30 11:57:54.088620526 +0000 UTC m=+1081.265450829,1675079874,ts-route-plan-service-7cf64f4bd6-g5f82,1.875933255165756,0.3751711792591728,420.33203125,21.0166015625,0,0,1552.1150124412495,29951.893834669616,35.99999999999999,NaN,47.99999999999997,NaN,57.600000000000016,NaN,0,0,2.8723582690458715,39.766422681028516,34797.26666666667
2023-01-30 11:58:54.380918304 +0000 UTC m=+1141.557748607,1675079934,ts-route-plan-service-7cf64f4bd6-g5f82,2.8684750218317494,0.5736950043663498,420.99609375,21.0498046875,0,0,1661.6346998914337,28343.22493925451,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.866736621204269,39.75525000091479,32676.8
2023-01-30 11:59:54.451872128 +0000 UTC m=+1201.628702436,1675079994,ts-route-plan-service-7cf64f4bd6-g5f82,4.2117911012046125,0.8423582202409226,420.265625,21.01328125,0,0,1544.7811101394104,28103.554709604403,0.0046,NaN,0.004799999999999999,NaN,0.004960000000000001,NaN,0,0,8.204353844208978,39.83794734935483,31576.166666666668
2023-01-30 12:00:54.254616284 +0000 UTC m=+1261.431446592,1675080054,ts-route-plan-service-7cf64f4bd6-g5f82,2.0811926984622047,0.41621882944509403,421.0390625,21.051953125,0,0,1816.914022517912,35100.37103377687,0.00045,NaN,0.00047499999999999994,NaN,0.000495,NaN,0,0,8.923025266507778,39.82001739327712,30947.933333333334
2023-01-30 12:01:54.21565045 +0000 UTC m=+1321.392480758,1675080114,ts-route-plan-service-7cf64f4bd6-g5f82,3.0751100265498934,0.6150220053099786,420.9453125,21.047265625,0,0,1285.0283495939111,27628.135056443785,12.000000000000012,NaN,20.99999999999999,NaN,28.2,NaN,0,0,9.109947643991678,39.78530402253076,31591.5
2023-01-30 12:02:54.465796328 +0000 UTC m=+1381.642626634,1675080174,ts-route-plan-service-7cf64f4bd6-g5f82,2.8137717542099137,0.5627543508419828,420.9140625,21.045703125,0,0,1441.9088444808674,33939.860051692616,12.000000000000012,NaN,20.99999999999999,NaN,28.2,NaN,0,0,8.714249769354321,39.813796796270566,59565.23333333333
2023-01-30 12:03:54.29285784 +0000 UTC m=+1441.469688140,1675080234,ts-route-plan-service-7cf64f4bd6-g5f82,2.981367600500112,0.5962735201000224,421.7890625,21.089453125,0,0,1357.9466625558812,27838.908586403577,0.003800000000000001,NaN,0.004399999999999999,NaN,0.00488,NaN,0,0,2.7323092420099004,39.7986234184742,32223.266666666666
2023-01-30 12:04:54.373955017 +0000 UTC m=+1501.550785323,1675080294,ts-route-plan-service-7cf64f4bd6-g5f82,6.671522394657749,1.3342767886061706,421.46875,21.0734375,0,0,2102.8277634961437,37950.809421246435,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,3.405130788929489,39.760958313461984,40111.166666666664
2023-01-30 12:05:54.171982955 +0000 UTC m=+1561.348813270,1675080354,ts-route-plan-service-7cf64f4bd6-g5f82,2.794523158278469,0.5589046316556938,420.671875,21.033593749999998,0,0,2807.7645206226152,65579.189631155,13.999999999999993,NaN,21.99999999999998,NaN,28.40000000000001,NaN,0,0,2.6284850520637337,39.720902547639405,34009.4
